ID,TIMESTAMP,DISTRICT,AGE_RANGE,MARITAL_STATUS,EDUCATION_LEVEL,OCCUPATION_SECTOR,MONTHLY_INCOME,MOBILE_APP_BANK_TYPES,SAVINGS,FIXED_DEPOSITS,CURRENT_ACCOUNT,LOAN,PEOPLE'S_BANK,BANK_OF_CEYLON,SAMPATH_BANK,NDB,HNB,COMMERCIAL_BANK,HSBC,NATIONS_TRUST_BANK,SEYLAN_BANK,PAN_ASIA_BANK,STANDARD_CHARTERED_BANK,DFCC_BANK,CARGILLS_BANK,ICICI_BANK,NSB,MOBILE_TYPE,MOBILE_BANK_APP_USAGE_START_FROM,MOBILE_BANK_APP_USAGE_PER_MONTH,MOBILE_BANK_APP_USAGE_PERIOD_IN_YEARS,NUMBER_OF_VISIT_BANK_PER_MONTH,ATM_MACHINE_USAGE_PER_MONTH,INTERNET_BANKING_USAGE_PER_MONTH,MOBILE_APP_USAGE_PER_MONTH,CREDIT_CARD_USAGE_PER_MONTH,MOST_IMPORTANT_REASON_FOR_MOBILE_BANK_APP_USAGE,SELF_PREFERENCE_FOR_MOBILE_BANKING_5 _1,SELF_PREFERENCE_FOR_MOBILE_BANKING_SAFTY_5_1,SELF_PREFERENCE_FOR_SAVING_TIME_WITH_MOBILE_BANKING_5_1,SELF_PREFERENCE_FOR_MOBILE_APP_INVOLVED_EASY_BANKING_OPERATIONS_5_1,SELEF_PREFERENCE_FOR_MOBILE_APP_INTERFACE_5_1,SELEF_PREFERENCE_FOR_MOBILE_APP_NETWORK_CONNECTION_SAFTY_5_1,SELEF_PREFERENCE_FOR_MOBILE_APP_COST_EFFECTIVENESS_5_1,MOBILE_APP_USAGE_FINAL_SELF_RATING_5_1,RECOMMENDATION_MOBILE_BANK_APPS_FOR_OTHERS,FREE_SERVICE,SPEED_PERFORMANCE,SIMPLICITY,EXCELLENT_USER_INTERFACE,SECURITY,CUSTOMIZATION,FEEDBACK,CUSTOMER_SUPPORT,CHARTS,MULTI_LANGUAGE,SOCIAL_INTEGRATION,USE_FROM_ANY_TYPE_OF_PHONE
1,2020/11/03 2:20:19 AM GMT+5:30,KANDY,30 - 39,SINGLE,DEGREE,PRIVATE,"80,001 - 100,000",PRIVATE_GOVERNMENT,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,SELF MOTIVATION,07-May,02-Jan,0,10-Jun,05-Jan,10-Jun,05-Jan,TO REDUCE TIME,5,4,4,5,5,5,5,5,YES,1,0,0,0,0,0,0,0,0,0,0,0
2,2020/11/03 11:53:24 PM GMT+5:30,KANDY,30 - 39,SINGLE,DEGREE,PRIVATE,"< 200,000",PRIVATE_GOVERNMENT,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ANDROID,SELF MOTIVATION,05-Mar,02-Jan,0,10-Jun,10-Jun,10-Jun,05-Jan,TECHNOLOGY USAGE,5,5,5,5,5,5,5,5,YES,0,1,1,1,0,0,1,0,0,0,0,0
3,2020/11/04 12:16:21 AM GMT+5:30,COLOMBO,19 - 29,SINGLE,DEGREE,PRIVATE,"80,001 - 100,000",PRIVATE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,APPLE IPHONE,ADVERTISEMENTS,02-Jan,02-Jan,05-Jan,05-Jan,05-Jan,05-Jan,0,TO REDUCE TIME,5,4,5,5,3,4,5,4,YES,0,1,1,1,1,1,0,1,0,0,0,0
4,2020/11/04 12:19:32 AM GMT+5:30,COLOMBO,30 - 39,MARRIED,DEGREE,PRIVATE,"< 200,000",PRIVATE,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ANDROID,INTERNET AND WEBSITES,07-May,05-Apr,05-Jan,10-Jun,10-Jun,10-Jun,0,TO REDUCE TIME,3,3,5,5,5,5,5,5,YES,0,1,1,0,1,0,0,0,0,0,0,0
5,2020/11/04 12:36:38 AM GMT+5:30,COLOMBO,19 - 29,SINGLE,DEGREE,PRIVATE,"140,001 - 160,000",PRIVATE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,INTERNET AND WEBSITES,< 10,05-Apr,0,0,0,0,0,EASY TO USE,5,5,5,5,5,5,5,5,YES,0,1,1,0,1,0,1,1,0,0,0,0
6,2020/11/04 6:55:21 AM GMT+5:30,KURUNEGALA,19 - 29,SINGLE,MASTER,PRIVATE,"140,001 - 160,000",PRIVATE,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,ADVERTISEMENTS,07-May,0 - 1,20-Nov,20-Nov,20-Nov,20-Nov,20-Nov,TO REDUCE TIME,2,2,2,2,2,2,2,3,YES,0,0,1,0,1,0,0,0,0,0,0,0
7,2020/11/04 8:09:20 AM GMT+5:30,KANDY,30 - 39,MARRIED,DEGREE,GOVERNMENT,"80,001 - 100,000",GOVERNMENT,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,SELF MOTIVATION,< 10,02-Jan,05-Jan,10-Jun,0,< 20,0,EASY TO USE,5,4,5,5,4,4,4,5,YES,1,1,1,1,1,1,0,0,1,0,1,1
8,2020/11/04 9:52:19 AM GMT+5:30,GALLE,30 - 39,MARRIED,DEGREE,PRIVATE,"< 200,000",PRIVATE_GOVERNMENT,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,ANDROID,FRIENDS,< 10,05-Apr,0,05-Jan,20 - 30,10-Jun,10-Jun,EASY TO USE,5,3,5,5,4,3,5,4,YES,0,1,1,1,1,1,1,1,0,0,0,1
9,2020/11/04 10:10:23 AM GMT+5:30,GAMPAHA,30 - 39,SINGLE,DEGREE,GOVERNMENT,"80,001 - 100,000",GOVERNMENT,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,SELF MOTIVATION,< 10,05-Apr,05-Jan,05-Jan,20-Nov,20-Nov,05-Jan,TO REDUCE TIME,5,4,5,5,4,4,5,4,YES,0,1,1,1,1,0,0,0,0,0,0,0
10,2020/11/04 10:20:16 AM GMT+5:30,KALUTHARA,19 - 29,SINGLE,DEGREE,PRIVATE,"20,001- 40,000",PRIVATE_GOVERNMENT,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,SELF MOTIVATION,02-Jan,02-Jan,0,05-Jan,05-Jan,05-Jan,05-Jan,TO REDUCE TIME,4,3,4,4,3,3,4,3,YES,0,1,1,1,1,1,1,1,0,1,0,0
11,2020/11/04 10:20:46 AM GMT+5:30,GAMPAHA,30 - 39,SINGLE,AL,SELF-EMPLOYED,"0 - 20,000",PRIVATE,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,ANDROID,SELF MOTIVATION,02-Jan,02-Jan,0,05-Jan,05-Jan,0,0,TO REDUCE TIME,5,5,5,5,3,5,5,5,YES,0,1,1,1,1,0,1,1,1,1,1,1
12,2020/11/04 10:41:39 AM GMT+5:30,GAMPAHA,30 - 39,MARRIED,DEGREE,PRIVATE,"180,001 - 200,000",PRIVATE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,SELF MOTIVATION,05-Mar,03-Feb,0,05-Jan,10-Jun,10-Jun,05-Jan,TO REDUCE TIME,5,5,5,5,5,5,5,4,YES,0,1,1,1,1,1,0,1,0,1,0,1
13,2020/11/04 11:23:00 AM GMT+5:30,COLOMBO,30 - 39,MARRIED,PHD,PRIVATE,"140,001 - 160,000",PRIVATE_GOVERNMENT,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,FROM BANK,02-Jan,0 - 1,0,05-Jan,05-Jan,0,0,EASY TO USE,5,3,5,4,3,4,5,4,YES,0,1,1,1,1,0,0,0,0,0,0,1
14,2020/11/04 12:58:16 PM GMT+5:30,COLOMBO,30 - 39,SINGLE,DEGREE,PRIVATE,"180,001 - 200,000",PRIVATE,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,APPLE IPHONE,FROM BANK,02-Jan,02-Jan,05-Jan,05-Jan,05-Jan,05-Jan,10-Jun,EASY TO USE,4,4,4,4,4,4,4,4,YES,0,1,0,1,1,0,0,0,0,0,0,0
15,2020/11/04 1:02:18 PM GMT+5:30,COLOMBO,30 - 39,MARRIED,DEGREE,GOVERNMENT,"80,001 - 100,000",GOVERNMENT,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,FROM BANK,02-Jan,03-Feb,0,10-Jun,05-Jan,05-Jan,05-Jan,TO REDUCE TIME,5,4,5,5,5,5,4,5,YES,0,1,1,1,0,0,0,1,0,1,0,1
16,2020/11/04 3:45:31 PM GMT+5:30,GALLE,30 - 39,MARRIED,DEGREE,GOVERNMENT,"40,001 - 60,000",PRIVATE,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,FRIENDS,02-Jan,05-Apr,0,0,05-Jan,0,10-Jun,EASY TO USE,4,3,4,4,3,2,4,3,YES,0,1,1,0,1,0,0,1,0,0,0,1
17,2020/11/04 3:48:08 PM GMT+5:30,COLOMBO,30 - 39,SINGLE,DEGREE,PRIVATE,"140,001 - 160,000",PRIVATE_GOVERNMENT,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,ANDROID,SELF MOTIVATION,07-May,05-Apr,0,05-Jan,20-Nov,< 20,< 20,TO REDUCE TIME,5,4,5,5,4,4,5,4,YES,0,1,1,1,1,1,1,0,1,0,0,1
18,2020/11/04 4:15:20 PM GMT+5:30,KANDY,19 - 29,SINGLE,DEGREE,PRIVATE,"80,001 - 100,000",PRIVATE,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,ANDROID,SELF MOTIVATION,02-Jan,05-Apr,0,05-Jan,05-Jan,05-Jan,0,EASY TO USE,5,4,5,4,2,3,5,4,YES,0,1,1,1,1,0,1,1,0,1,0,1
19,2020/11/05 8:28:45 AM GMT+5:30,MATHALE,30 - 39,MARRIED,MASTER,GOVERNMENT,"80,001 - 100,000",PRIVATE_GOVERNMENT,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ANDROID,SELF MOTIVATION,02-Jan,03-Feb,05-Jan,05-Jan,05-Jan,05-Jan,05-Jan,EASY TO USE,5,4,5,5,5,5,5,5,YES,0,1,1,1,1,1,1,1,1,1,1,1
20,2020/11/08 12:30:40 AM GMT+5:30,COLOMBO,30 - 39,MARRIED,DEGREE,PRIVATE,"100,001 - 120,000",PRIVATE,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,APPLE IPHONE,FROM BANK,02-Jan,02-Jan,0,05-Jan,10-Jun,10-Jun,0,EASY TO USE,3,3,4,4,2,3,3,3,YES,0,1,1,1,1,0,0,0,0,0,0,1
21,2020/11/08 4:59:35 PM GMT+5:30,MATHALE,19 - 29,SINGLE,DEGREE,PRIVATE,"80,001 - 100,000",PRIVATE,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,APPLE IPHONE,SELF MOTIVATION,05-Mar,03-Feb,05-Jan,10-Jun,10-Jun,10-Jun,0,TO REDUCE TIME,4,5,4,5,5,5,5,4,YES,0,1,1,0,1,0,0,1,0,0,0,0
22,2020/11/08 4:05:15 PM GMT+5:30,MATHALE,19 - 29,SINGLE,DEGREE,PRIVATE,"100,001 - 120,000",PRIVATE_GOVERNMENT,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ANDROID,FROM BANK,05-Mar,02-Jan,05-Jan,05-Jan,05-Jan,05-Jan,05-Jan,EASY TO USE,4,4,4,4,4,4,4,4,YES,0,1,1,1,1,1,0,1,0,0,0,0
23,2020/11/08 4:06:19 PM GMT+5:30,MATHARA,19 - 29,SINGLE,DEGREE,PRIVATE,"60,001 - 80,000",PRIVATE_GOVERNMENT,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,ANDROID,FROM BANK,07-May,03-Feb,10-Jun,10-Jun,10-Jun,10-Jun,10-Jun,TO REDUCE TIME,4,4,5,5,5,5,5,4,YES,0,1,1,1,1,0,0,1,0,0,0,0
24,2020/11/08 4:13:38 PM GMT+5:30,NUWARAELIYA,50 - 59,MARRIED,AL,PRIVATE,"60,001 - 80,000",PRIVATE_GOVERNMENT,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,ANDROID,FROM BANK,09-Jul,03-Feb,10-Jun,05-Jan,05-Jan,05-Jan,10-Jun,TO REDUCE TIME,4,3,4,3,4,5,5,5,YES,0,1,1,0,1,0,0,1,0,0,0,0
25,2020/11/08 4:13:54 PM GMT+5:30,COLOMBO,40 - 49,MARRIED,OL,SELF-EMPLOYED,"60,001 - 80,000",PRIVATE_GOVERNMENT,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,APPLE IPHONE,SELF MOTIVATION,09-Jul,02-Jan,05-Jan,05-Jan,05-Jan,05-Jan,05-Jan,TO REDUCE TIME,5,5,5,5,5,5,5,5,YES,0,1,1,1,1,0,0,1,0,1,0,0
26,2020/11/08 5:16:00 PM GMT+5:30,COLOMBO,30 - 39,MARRIED,DEGREE,PRIVATE,"140,001 - 160,000",PRIVATE_GOVERNMENT,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,ANDROID,INTERNET AND WEBSITES,09-Jul,03-Feb,05-Jan,10-Jun,10-Jun,10-Jun,20-Nov,TO REDUCE TIME,4,5,5,5,4,4,3,5,YES,0,1,0,0,1,0,0,1,1,0,0,0
27,2020/11/08 5:22:48 PM GMT+5:30,GALLE,19 - 29,SINGLE,DEGREE,PRIVATE,"80,001 - 100,000",PRIVATE,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,ANDROID,SELF MOTIVATION,07-May,05-Apr,05-Jan,10-Jun,10-Jun,05-Jan,05-Jan,TO REDUCE TIME,4,5,5,5,4,5,5,4,YES,0,1,1,0,1,0,1,1,0,0,0,0
28,2020/11/08 5:23:21 PM GMT+5:30,KANDY,40 - 49,SINGLE,DEGREE,GOVERNMENT,"40,001 - 60,000",PRIVATE,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,FROM BANK,05-Mar,02-Jan,10-Jun,10-Jun,05-Jan,05-Jan,05-Jan,EASY TO USE,5,4,5,5,5,5,5,5,YES,0,1,1,0,1,0,0,0,0,0,0,0
29,2020/11/08 5:25:10 PM GMT+5:30,GAMPAHA,40 - 49,MARRIED,DEGREE,GOVERNMENT,"40,001 - 60,000",PRIVATE_GOVERNMENT,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,FROM BANK,07-May,03-Feb,05-Jan,10-Jun,05-Jan,05-Jan,05-Jan,EASY TO USE,5,4,4,4,4,4,5,4,YES,0,1,1,0,1,0,0,0,0,0,0,0
30,2020/11/08 5:27:44 PM GMT+5:30,KURUNEGALA,30 - 39,MARRIED,DEGREE,PRIVATE,"80,001 - 100,000",PRIVATE_GOVERNMENT,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,ANDROID,FRIENDS,07-May,03-Feb,05-Jan,10-Jun,10-Jun,10-Jun,05-Jan,TO REDUCE TIME,5,4,4,4,5,5,5,5,YES,0,1,1,1,1,0,0,1,0,0,0,0
31,2020/11/08 5:30:52 PM GMT+5:30,GAMPAHA,30 - 39,MARRIED,AL,PRIVATE,"60,001 - 80,000",PRIVATE_GOVERNMENT,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ANDROID,SELF MOTIVATION,09-Jul,03-Feb,05-Jan,20-Nov,05-Jan,05-Jan,0,EASY TO USE,3,3,3,3,3,3,3,3,NO,0,0,0,0,0,0,1,1,0,0,1,0
32,2020/11/08 5:37:23 PM GMT+5:30,COLOMBO,30 - 39,SINGLE,DEGREE,SELF-EMPLOYED,"140,001 - 160,000",PRIVATE_GOVERNMENT,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ANDROID,FROM BANK,09-Jul,02-Jan,05-Jan,05-Jan,05-Jan,05-Jan,0,EASY TO USE,4,4,5,5,4,5,5,4,YES,0,1,1,0,1,0,0,0,0,0,0,0
33,2020/11/08 5:37:24 PM GMT+5:30,GAMPAHA,40 - 49,MARRIED,MASTER,GOVERNMENT,"100,001 - 120,000",GOVERNMENT,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANDROID,FROM BANK,09-Jul,02-Jan,10-Jun,10-Jun,05-Jan,05-Jan,0,LESS COST,5,4,4,4,5,5,5,5,YES,0,1,1,0,1,0,0,1,0,0,0,0
34,2020/11/08 5:43:47 PM GMT+5:30,BATTICALOA,30 - 39,MARRIED,AL,GOVERNMENT,"80,001 - 100,000",PRIVATE_GOVERNMENT,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,ANDROID,FROM BANK,09-Jul,05-Apr,10-Jun,10-Jun,05-Jan,05-Jan,0,EASY TO USE,4,4,4,4,4,4,4,4,YES,0,0,1,0,1,0,0,1,0,0,0,0
